2026-08-23T17:13:58.679Z | server_startup | {"time":"2026-08-23T17:13:58.678Z","environment":{"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false},"database":"203.202.241.211:1433","user":"mcp_user","databaseName":"DataMart","schema":"dbo","startedVia":"C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\@liangshanli\\mcp-server-mssqlserver\\src\\server-final.js"} | SUCCESS | RESPONSE: {"status":"starting"}
2026-08-23T17:19:43.831Z | error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms","stack":"ConnectionError: Failed to connect to 203.202.241.211:1433 in 15000ms\n    at C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\mssql\\lib\\tedious\\connection-pool.js:85:17\n    at Connection.onConnect (C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\tedious\\lib\\connection.js:838:9)\n    at Object.onceWrapper (node:events:631:26)\n    at Connection.emit (node:events:509:28)\n    at Connection.emit (C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\tedious\\lib\\connection.js:959:18)\n    at Connection.connectTimeout (C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\tedious\\lib\\connection.js:1209:10)\n    at Timeout._onTimeout (C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\tedious\\lib\\connection.js:1154:12)\n    at listOnTimeout (node:internal/timers:605:17)\n    at process.processTimers (node:internal/timers:541:7)"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:19:43.860Z | notifications/cancelled | {"requestId":2,"reason":"AbortError: This operation was aborted"} | Unknown method: notifications/cancelled | RESPONSE: null
2026-08-23T17:19:43.861Z | error | {"error":"Unknown method: notifications/cancelled","stack":"Error: Unknown method: notifications/cancelled\n    at FinalMCPServer.handleRequest (C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\@liangshanli\\mcp-server-mssqlserver\\src\\server-final.js:754:17)\n    at Socket.<anonymous> (C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\@liangshanli\\mcp-server-mssqlserver\\src\\server-final.js:831:43)\n    at Socket.emit (node:events:509:28)\n    at addChunk (node:internal/streams/readable:563:12)\n    at readableAddChunkPushByteMode (node:internal/streams/readable:514:3)\n    at Readable.push (node:internal/streams/readable:394:5)\n    at Pipe.onStreamRead (node:internal/stream_base_commons:189:23)"} | Unknown method: notifications/cancelled | RESPONSE: null
2026-08-23T17:20:01.995Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:20:17.007Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:20:17.008Z | tools/call | {"name":"get_database_info","arguments":{},"_meta":{"progressToken":3}} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:20:17.010Z | error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms","stack":"ConnectionError: Failed to connect to 203.202.241.211:1433 in 15000ms\n    at C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\mssql\\lib\\tedious\\connection-pool.js:85:17\n    at Connection.onConnect (C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\tedious\\lib\\connection.js:838:9)\n    at Object.onceWrapper (node:events:631:26)\n    at Connection.emit (node:events:509:28)\n    at Connection.emit (C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\tedious\\lib\\connection.js:959:18)\n    at Connection.connectTimeout (C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\tedious\\lib\\connection.js:1209:10)\n    at Timeout._onTimeout (C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\tedious\\lib\\connection.js:1154:12)\n    at listOnTimeout (node:internal/timers:605:17)\n    at process.processTimers (node:internal/timers:541:7)"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:20:17.034Z | notifications/cancelled | {"requestId":3,"reason":"AbortError: This operation was aborted"} | Unknown method: notifications/cancelled | RESPONSE: null
2026-08-23T17:20:17.035Z | error | {"error":"Unknown method: notifications/cancelled","stack":"Error: Unknown method: notifications/cancelled\n    at FinalMCPServer.handleRequest (C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\@liangshanli\\mcp-server-mssqlserver\\src\\server-final.js:754:17)\n    at Socket.<anonymous> (C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\@liangshanli\\mcp-server-mssqlserver\\src\\server-final.js:831:43)\n    at Socket.emit (node:events:509:28)\n    at addChunk (node:internal/streams/readable:563:12)\n    at readableAddChunkPushByteMode (node:internal/streams/readable:514:3)\n    at Readable.push (node:internal/streams/readable:394:5)\n    at Pipe.onStreamRead (node:internal/stream_base_commons:189:23)"} | Unknown method: notifications/cancelled | RESPONSE: null
2026-08-23T17:20:35.775Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:20:50.789Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:20:50.790Z | tools/call | {"name":"get_database_info","arguments":{},"_meta":{"progressToken":2}} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:20:50.792Z | error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms","stack":"ConnectionError: Failed to connect to 203.202.241.211:1433 in 15000ms\n    at C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\mssql\\lib\\tedious\\connection-pool.js:85:17\n    at Connection.onConnect (C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\tedious\\lib\\connection.js:838:9)\n    at Object.onceWrapper (node:events:631:26)\n    at Connection.emit (node:events:509:28)\n    at Connection.emit (C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\tedious\\lib\\connection.js:959:18)\n    at Connection.connectTimeout (C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\tedious\\lib\\connection.js:1209:10)\n    at Timeout._onTimeout (C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\tedious\\lib\\connection.js:1154:12)\n    at listOnTimeout (node:internal/timers:605:17)\n    at process.processTimers (node:internal/timers:541:7)"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:20:50.807Z | notifications/cancelled | {"requestId":2,"reason":"AbortError: This operation was aborted"} | Unknown method: notifications/cancelled | RESPONSE: null
2026-08-23T17:20:50.808Z | error | {"error":"Unknown method: notifications/cancelled","stack":"Error: Unknown method: notifications/cancelled\n    at FinalMCPServer.handleRequest (C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\@liangshanli\\mcp-server-mssqlserver\\src\\server-final.js:754:17)\n    at Socket.<anonymous> (C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\@liangshanli\\mcp-server-mssqlserver\\src\\server-final.js:831:43)\n    at Socket.emit (node:events:509:28)\n    at addChunk (node:internal/streams/readable:563:12)\n    at readableAddChunkPushByteMode (node:internal/streams/readable:514:3)\n    at Readable.push (node:internal/streams/readable:394:5)\n    at Pipe.onStreamRead (node:internal/stream_base_commons:189:23)"} | Unknown method: notifications/cancelled | RESPONSE: null
2026-08-23T17:24:28.769Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:24:28.769Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:24:43.786Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:24:43.788Z | health_check_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:24:43.788Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:24:43.790Z | health_check_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:29:28.777Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:29:28.777Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:29:43.779Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:29:43.780Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:29:43.781Z | health_check_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:29:43.781Z | health_check_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:34:28.765Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:34:28.765Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:34:43.777Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:34:43.782Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:34:43.784Z | health_check_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:34:43.784Z | health_check_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:39:28.773Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:39:28.773Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:39:43.792Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:39:43.791Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:39:43.797Z | health_check_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:39:43.798Z | health_check_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:44:28.792Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:44:28.792Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:44:43.808Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:44:43.808Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:44:43.810Z | health_check_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:44:43.810Z | health_check_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:49:28.806Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:49:28.806Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:49:43.824Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:49:43.824Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:49:43.827Z | health_check_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:49:43.827Z | health_check_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:54:28.791Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:54:28.791Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:54:43.799Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:54:43.800Z | health_check_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:54:43.812Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:54:43.813Z | health_check_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
